Title, Category, Opinions
"""Rz"" o seksaferze na Podkarpaciu: Tysiące nagrań, zarejestrowano VIP-ów. ""Taśmy miały trafić na Ukrainę""","Polityka","0"
"Były senator Eryk S. zatrzymany przez CBA. Zarzut udziału w grupie przestępczej","Polityka","0"
"Sondaż. Sojusz sprzyja opozycji w wyborach do PE, ale Biedroń ma powody do zmartwień","Polityka","0"
"To nie koniec strajku nauczycieli. Teraz to rząd znalazł się pod ścianą, chociaż może jeszcze o tym nie wie [ANALIZA]","Polityka","0"
"Rocznica Smoleńska. Jarosław Kaczyński: Musimy myśleć o decyzjach, które są przed nami","Polityka","0"
"Walczyła o słabszych i dodawała odwagi. Takich polityków jak Izabela Jaruga-Nowacka już nie ma","Polityka","0"
"Taksówkarze dogadali się z rządem i zawieszają protest. ""Nic więcej nie udałoby się ugrać""","Polityka","0"
"Andrzej Duda nadał bieg wnioskowi o ułaskawienie Marka Falenty. Zrobił to na wniosek rodziny","Polityka","0"
"Egzamin gimnazjalny z języka polskiego nie odbył się w jednej szkole. ""Niekompletny zespół""","Polityka","0"
"9. rocznica katastrofy smoleńskiej. Prezydent Duda z Martą Kaczyńską na Wawelu. ""Bardzo nam ich brakuje""","Polityka","0"
"Edmund Janniger powrócił. Był widziany z Antonim Macierewiczem w gminie Wielgomłyny","Polityka","0"
"Nieoficjalnie: Kurski wygrał z ""ludźmi prezydenta"" w TVP. Dalej kontroluje ""Wiadomości""","Polityka","0"
"Mateusz Morawiecki w TVP o strajku nauczycieli. Przyszedł z wydrukowanymi slajdami. Proponuje ""okrągły stół""","Polityka","0"
"Posłanka PO pytała o wydatki resortu Ziobry, odpowiedź dostała po roku. W wykazie m.in. TVP","Polityka","0"
"Strajk nauczycieli. Nie ma porozumienia z rządem. Nauczyciele: spotkanie było stratą czasu","Polityka","0"
"Rzecznik Praw Dziecka reaguje na strajk nauczycieli - chce zmiany terminu składania papierów do szkół","Polityka","0"
"PiS będzie wściekłe. Na finiszu kampanii europejskiej Tusk przyjedzie do Polski. Wygłosi ""bardzo ważne przemówienie""","Polityka","0"
"Strajk nauczycieli. Beata Szydło zaprasza związkowców na negocjacje. Mają się odbyć jeszcze dziś","Polityka","0"
"W strajku nauczycieli bierze udział już 74 proc. szkół. Związkowcy żądają mediatora: Rząd ma dwie godziny","Polityka","0"
"Jacek Sasin ma dowody na ""polityczne intencje"" Sławomira Broniarza? Pokazał zdjęcia ze Schetyną","Polityka","0"
"Wicepremier Szydło o strajku nauczycieli: rząd zaprasza nauczycieli do bezterminowego dialogu","Polityka","0"
"Lublin. Ksiądz zaproponował modlitwę o ""opamiętanie nauczycieli, którzy bezpodstawnie protestują""","Polityka","0"
"Czy egzaminy gimnazjalne się odbędą? Sławomir Broniarz z ZNP: Będą decydować poszczególne szkoły","Polityka","0"
"Strajk nauczycieli. Anna Zalewska wróciła i apeluje ws. porozumienia. ""Ogromne pieniądze""","Polityka","0"
"Błaszczak stwierdził, że Broniarz był posłem SLD. W archiwum Sejmu szef ZNP nie figuruje","Polityka","0"
"Strajk nauczycieli. O jeden strajk za daleko. Dlaczego nauczyciele nie mieli szans na realizację swoich postulatów","Polityka","0"
"Andrzej Duda mówił o wynagrodzeniach nauczycieli. ""Ja się z nimi solidaryzuję, ale...""","Polityka","0"
"Sondaż wyborczy. Pięć partii w polskim Sejmie","Polityka","0"
"Strajk nauczycieli. Związkowcy z Solidarności przyłączają się do ZNP. Ryszard Proksa grozi karami","Polityka","0"
"Sąd umorzył sprawę karną wytoczoną przez Magdalenę Ogórek dyrektorowi Muzeum Polin","Polityka","0"
"Jak długo będzie trwał strajk nauczycieli? Dorota Gardias: Przypominam, że białe miasteczko było miesiąc","Polityka","0"
"Strajk nauczycieli. Kim jest Ryszard Proksa z oświatowej ""Solidarności""? To on podpisał porozumienie","Polityka","0"
"Ewa Kopacz w Gazeta.pl o umowie rządu z związkowcami z ""S"": To porozumienie między PiS-em a PiS-em","Polityka","0"
"Strajk taksówkarzy w Warszawie oraz na A2 - trasa przemarszu i utrudnienia w komunikacji","Polityka","0"
"Propozycja rządu była ""nie do przyjęcia"". Witkowicz: ustawka rządu z niesolidarną ""Solidarnością""","Polityka","0"
"Szydło ogłosiła ""sukces"" po rozmowach ostatniej szansy. ""Ktoś wie, gdzie będą wręczane kwiaty?""","Polityka","0"
"Fiasko rozmów między rządem a nauczycielami. Porozumienie przyjęła tylko ""Solidarność""","Polityka","0"
"Szydło odniosła się do propozycji debaty z Thun. Dodała, że jako ""pisior"" wozi w aucie różaniec","Polityka","0"
"""Sieci"" pytają, czy w Smoleńsku padły strzały; Schetyna szczerze o Tusku [W TYGODNIKACH]","Polityka","0"
"To ostatni moment, aby rząd porozumiał się z nauczycielami. Gardias: Skończmy z personaliami","Polityka","0"
"Jakie propozycje dla nauczycieli ma rząd? Szydło forsuje przedstawioną ofertę, szef KPRM mówi o nowej","Polityka","0"
"Prezes AGROunii o planowanych przez PiS dopłatach dla hodowców: Krowoświnia+ to brudna zagrywka","Polityka","0"
"Robert Biedroń z kotem drwią z konwencji Koalicji Europejskiej. ""Lanie wody""","Polityka","0"
"Wieszał portrety europosłów na szubienicach. Dziś sam jest kandydatem Konfederacji do PE","Polityka","0"
"Jest film z zatrzymania Falenty. Policja: Wszedł na balustradę i groził, że skoczy z 9. piętra","Polityka","0"
"Macierewicz jeździ do Sejmu samochodem na sygnale. 11 km przez Warszawę pokonał w 15 minut","Polityka","0"
"Programu 500 zł na każdą krowę PiS nie sfinansuje z budżetu państwa. Chodzi o fundusze unijne","Polityka","0"
"Kto powinien odejść z rządu przy rekonstrukcji? Najwięcej głosów dostała była premier Szydło","Polityka","0"
"W niedzielę rozmowy ""ostatniej szansy"" między rządem a nauczycielami. O spotkanie prosiła Rafalska","Polityka","0"
"Schetyna złapał wiatr w żagle i próbuje kontruderzenia. Schował program, wyjął fachowców [ANALIZA]","Polityka","0"
"Kaczyński w Kadzidle składał obietnice rolnikom. ""Nam się, drodzy państwo, mnożą te piątki""","Polityka","0"
"Czarzasty na konwencji: Jaś jest głupi, ale został ministrem, bo nie lubi Żydów. Mówi wam to coś?","Polityka","0"
"Kosiniak-Kamysz: Polak znowu powinien być szefem PE. Aplauz dla Jerzego Buzka","Polityka","0"
"Schetyna na konwencji o PiS: Twórcy brexitu też na początku twierdzili, że wyjść z Unii nie chcą","Polityka","0"
"Onet: Kornel Morawiecki nie zapłacił za remont. Dług chciał spłacić dyrektor państwowego banku","Polityka","0"
"""Dla Schetyny i opozycji to gra o wszystko"" [ROZMOWA Z KRZYSZTOFEM ŁAPIŃSKIM]","Polityka","0"
"Dlaczego zatrzymano Falentę? Milioner i dawny informator służb stał za ""aferą taśmową""","Polityka","0"
"Pogoda na weekend 6-7 kwietnia. Meteorolodzy zapowiadają ochłodzenie i większe opady deszczu","Polityka","0"
"11 uszkodzonych samochodów Służby Ochrony Państwa. Koszty napraw przekroczyły 130 tys. zł","Polityka","0"
"Warszawskie kuratorium wystosowało list do rodziców. ""To zachęcanie do pisania donosów""","Polityka","0"
"Poseł Stefan N. usłyszał zarzuty w związku z przyjmowaniem korzyści majątkowych","Polityka","0"
